lengthClass,X2016-31-01,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,1,,,,,,
13,,2,,1,,,,
14,,,,,,,,
15,,,,2,,,,
16,,3,,3,,,,
17,,3,,8,,1,,
18,,1,,5,,,,
19,,2,,,,,,
20,,2,1,2,,4,,
21,,1,,,,3,,
22,,1,,4,,5,,
23,,,1,,,5,,
24,,1,,,,4,,
25,,1,12,,,10,,
26,,,1,,1,2,1,3
27,1,,8,8,1,,3,3
28,1,,6,5,,,7,8
29,2,,9,4,1,,4,11
30,,2,9,3,1,,15,9
31,1,1,4,3,3,,10,1
32,2,2,2,4,,,5,
33,1,3,1,6,,1,2,4
34,1,3,,1,2,3,,3
35,5,3,2,4,,1,1,6
36,3,8,4,1,5,7,,6
37,6,7,3,1,1,7,4,4
38,5,1,3,,,6,5,1
39,4,3,2,3,2,7,1,2
40,2,7,7,5,2,7,5,5
41,2,1,9,9,4,9,2,2
42,,1,5,4,3,3,1,3
43,1,,7,3,,5,3,1
44,,1,,3,3,3,,
45,,,2,3,2,2,1,2
46,2,2,,2,,3,2,2
47,,1,,,,1,2,
48,,,,1,1,1,,1
49,,,,,,,1,1
50,,,,,2,1,,
51,1,,,,1,,1,1
