lengthClass,X2016-31-01,X2016-18-05,X2016-09-08,X2016-15-10,X2017-11-02,X2017-26-05,X2017-30-07,X2017-14-10
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,1,,,,
14,,,,,,,,
15,,,,2,,,,
16,,,,3,,,,
17,,1,,8,,1,,
18,,,,5,,,,
19,,,,,,,,
20,,,,2,,1,,
21,,,,,,1,,
22,,,,4,,2,,
23,,,,,,2,,
24,,,,,,4,,
25,,,5,,,3,,
26,,,1,,1,1,1,
27,,,3,,1,,2,
28,1,,2,1,,,4,2
29,1,,5,,,,1,4
30,,,2,,1,,3,1
31,,1,1,,,,1,
32,,2,1,,,,2,
33,1,1,,,,,,2
34,1,2,,,,2,,2
35,3,1,,,,1,1,4
36,1,4,2,,4,3,,4
37,2,4,1,,,4,1,2
38,3,,,,,3,2,
39,2,1,2,,1,4,1,
40,1,4,1,,1,4,1,1
41,,,1,,3,5,1,1
42,,1,1,,1,3,,1
43,,,2,,,2,,1
44,,1,,,1,1,,
45,,,,,,1,1,1
46,,2,,,,,,
47,,1,,,,,1,
48,,,,,,1,,1
49,,,,,,,,1
50,,,,,,,,
51,1,,,,,,,1
